Параметр: fid,ID товара,ID варианта
MOD062PL-L45CH3K___maytoni,277872691,486492769
MOD108PL-18GB___maytoni,277872694,486492773
MOD108PL-14WG___maytoni,277872697,486492776
MOD108PL-18WG___maytoni,277872700,486492778
MOD108PL-14GB___maytoni,277872702,486492780
MOD108WL-02GB___maytoni,277872710,486492789
MOD108WL-02WG___maytoni,277872714,486492792
MOD017PL-L50N___maytoni,277872717,486492796
MOD017PL-L50MG___maytoni,277872721,486492800
MOD017PL-L13N___maytoni,277872734,486492817
MOD017PL-L13G___maytoni,277872737,486492820
MOD068PL-18CH___maytoni,277872741,486492827
MOD068PL-14CH___maytoni,277872745,486492833
MOD068WL-01CH___maytoni,277872748,486492837
MOD036PL-18N___maytoni,277872752,486492840
DIA008PL-07CH___maytoni,277872778,486492867
MOD036PL-12N___maytoni,277872781,486492869
DIA008PL-05CH___maytoni,277872785,486492873
DIA008WL-02CH___maytoni,277872788,486492876
DIA008WL-01CH___maytoni,277872791,486492879
DIA008WL-1CH___maytoni,277872794,486492882
DIA008PL-08CH___maytoni,277872798,486492886
DIA008TL-01CH___maytoni,277872835,486492923
DIA008PL-06CH___maytoni,277872839,486492926
DIA008FL-01CH___maytoni,277872841,486492930
MOD042PL-06BS___maytoni,277872845,486492933
MOD042PL-04BS___maytoni,277872854,486492941
MOD042PL-01BS___maytoni,277872857,486492946
MOD076PL-08N___maytoni,277872867,486492956
MOD076PL-06N___maytoni,277872876,486492964
MOD076WL-01N___maytoni,277872879,486492969
MOD076FL-01N___maytoni,277872883,486492977
MOD075TL-01N___maytoni,277872887,486492983
MOD066PL-01CH___maytoni,277872890,486492993
MOD104PL-09B___maytoni,277872904,486493010
MOD104PL-07B___maytoni,277872923,486493030
MOD066WL-01CH___maytoni,277872942,486493054
MOD104PL-05B___maytoni,277872946,486493057
MOD066TL-01CH___maytoni,277872949,486493062
MOD066FL-01CH___maytoni,277872954,486493065
MOD104WL-01B___maytoni,277872957,486493068
MOD039PL-20N___maytoni,277872961,486493072
MOD039PL-12N___maytoni,277872964,486493075
MOD039PL-08N___maytoni,277872967,486493079
MOD039PL-06N___maytoni,277872971,486493085
MOD040PL-08CH___maytoni,277872976,486493092
MOD040PL-07CH___maytoni,277872979,486493096
MOD040WL-01CH___maytoni,277872983,486493099
MOD122PL-06BS___maytoni,277872986,486493102
MOD122PL-05BS___maytoni,277873013,486493136
MOD122PL-03BS___maytoni,277873017,486493139
MOD113PL-07W___maytoni,277873020,486493143
MOD038PL-08CH___maytoni,277873036,486493159
MOD113PL-01W___maytoni,277873051,486493174
MOD038PL-06CH___maytoni,277873055,486493177
MOD038WL-01CH___maytoni,277873058,486493181
MOD113WL-01W___maytoni,277873062,486493184
MOD527PL-08N___maytoni,277873065,486493188
MOD527PL-06N___maytoni,277873069,486493191
MOD527WL-01N___maytoni,277873073,486493195
MOD527TL-01N___maytoni,277873077,486493200
MOD527FL-01N___maytoni,277873081,486493208
MOD034PL-10CH___maytoni,277873086,486493214
MOD034PL-06CH___maytoni,277873090,486493217
MOD034WL-02CH___maytoni,277873094,486493221
MOD045PL-09CH___maytoni,277873097,486493225
MOD034PL-05CH___maytoni,277873101,486493228
MOD045PL-08CH___maytoni,277873104,486493232
MOD059PL-07G___maytoni,277873108,486493235
MOD059PL-07CH___maytoni,277873111,486493238
MOD059PL-03G___maytoni,277873114,486493242
MOD059PL-03CH___maytoni,277873118,486493245
MOD059WL-05G___maytoni,277873120,486493246
MOD059WL-05CH___maytoni,277873122,486493249
MOD059TL-03CH___maytoni,277873125,486493252
MOD109PL-10BS___maytoni,277873128,486493256
MOD059TL-03G___maytoni,277873132,486493258
MOD046PL-08CH___maytoni,277873134,486493262
MOD109PL-08BS___maytoni,277873138,486493265
MOD109WL-01BS___maytoni,277873158,486493285
MOD046PL-06CH___maytoni,277873161,486493288
MOD600PL-10W___maytoni,277873165,486493292
MOD600PL-06W___maytoni,277873169,486493297
MOD600PL-09W___maytoni,277873174,486493302
