Группа параметра,1 уровень,2 уровень,,id старый,id новый,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,Elevel,Isonex,,,Настройки-Параметры товаров-Отображать в навигации,Настройки-Параметры товаров-Не отображать в карточке товара,Настройки-Параметры товаров-Автоматическая сортировка
Основные,1,,,,158,Выключатель Вкл/Откл (On/Off),,,,,,Выключатель Вкл/Откл (On/Off),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,159,Выдвижной/телескопический (-ое),,,,,,Выдвижной/телескопический (-ое),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,160,Встроенный таймер,,,,,,Встроенный таймер,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,161,Возможность соединения в цепь,,,,,,Возможность соединения в цепь,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,162,Возможно применение датчика осадков,,,,,,Возможно применение датчика осадков,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,163,Возможно применение датчика ветра,,,,,,Возможно применение датчика ветра,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,164,Возможно подключение датчика повреждения стекла,,,,,,Возможно подключение датчика повреждения стекла,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,165,Возможно подключение датчика освещённости,,,,,,Возможно подключение датчика освещённости,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,166,Возможна параллельная работа,,,,,,Возможна параллельная работа,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,167,Внешн. датчик,,,,,,Внешн. датчик,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,168,Взрывозащищенный,,,,,,Взрывозащищенный,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,169,В комплекте с рамкой,,,,,,В комплекте с рамкой,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,170,В комплекте с вилкой (разъем),,,,,,В комплекте с вилкой (разъем),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,171,Антибактериальная обработка,,,,,,Антибактериальная обработка,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,172,Автономность,,,,,,Автономность,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,1,,104,173,"Длина, мм",Длина,Длина,"Длина (Глубина), мм","Длина, мм",,Длина,"Светильник Длина, мм",,,,,Автоматическая сортировка
Форма,2,1,,,,"Длина, мм",,,,,,"Длина, мм",,,,,,Автоматическая сортировка
Форма,2,2,03/22/2022,,174,"Общая длина, м (мм)",,,,,,Общ. Длина,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,3,,106,175,"Высота, мм",Высота,Высота,"Высота, мм",Высота минимальная,,Высота/глубина,"Светильник Высота, мм",,,,,Автоматическая сортировка
Форма,2,3,,,,"Высота, мм",,,,,,Высота,,,,,,Автоматическая сортировка
Форма,2,3,,,,"Высота, мм",,,,,,"Высота, мм",,,,,,Автоматическая сортировка
Форма,2,3,,,,"Высота, мм",,,,,,Высота устройства,,,,,,Автоматическая сортировка
Форма,2,3,,107,,"Высота, мм",,,,,,,,,,,,Автоматическая сортировка
Форма,2,4,,108,176,"Минимальная высота, мм",МинимальнаяВысота,,"Высота min, мм","Высота минимальная, мм",,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,4,,109,177,"Максимальная высота, мм",,,"Высота max, мм",Высота максимальная мм,,,"Светильник Высота полная, мм",,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,5,,105,178,"Ширина, мм",Ширина,Ширина,"Ширина, мм","Ширина, мм",,Ширина,"Светильник Ширина, мм",,,,,Автоматическая сортировка
Форма,2,6,,,,"Ширина, мм",,,,,,Ширина устройства,,,,,,Автоматическая сортировка
Форма,2,7,,,,"Ширина, мм",,,,,,"Ширина, мм",,,,,,Автоматическая сортировка
Форма,2,8,03/22/2022,,179,"Глубина, мм",,,,,,Глубина,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,9,03/22/2022,,180,"Глубина устройства, мм",,,,,,Глубина устройства,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,10,,,181,"Глубина макс, мм",,,"Глубина макс, мм",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,11,,103,182,"Диаметр, мм",Диаметр,Диаметр,"Диаметр, мм","Диаметр, мм",,Диаметр,"Светильник Диаметр, мм",,,,,Автоматическая сортировка
Форма,2,11,,,,"Диаметр, мм",,,,,,"Диаметр, мм",,,,,,Автоматическая сортировка
